Filename,Original Phrase,Rearranged Phrase,Target Word,Reversed,Position,Hamming Distance,Context,Original Window,Variation Window,Similarity,Token
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","diabetes illness includes renal failure, renal vascular peripheral disease. transplant, insulin dependent present mellitus and",0.715191,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, renal vascular peripheral disease. transplant, insulin dependent and mellitus diabetes",0.7395712,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present failure, includes renal illness renal vascular peripheral disease. transplant, insulin dependent diabetes mellitus and",0.66464365,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness diabetes renal failure, renal vascular peripheral disease. transplant, insulin dependent includes mellitus and",0.7063975,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness transplant, renal failure, renal vascular peripheral disease. includes insulin dependent diabetes mellitus and",0.727964,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, renal vascular peripheral disease. transplant, and dependent diabetes mellitus insulin",0.7314149,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes transplant, failure, renal vascular peripheral disease. renal insulin dependent diabetes mellitus and",0.73778534,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, renal vascular peripheral disease. and insulin dependent diabetes mellitus transplant,",0.74480224,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","and illness includes renal failure, renal vascular peripheral disease. transplant, insulin dependent diabetes mellitus present",0.7122478,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present and includes renal failure, renal vascular peripheral disease. transplant, insulin dependent diabetes mellitus illness",0.73682415,['vascular']
